"psu","zone","type","pop"
8226,8,2,2316.27270507812
8227,8,2,2045.82580566406
8228,8,2,636.486145019531
8229,8,2,546.222229003906
8230,8,2,1448.6865234375
8231,8,2,749.995971679688
8232,8,2,1433.505859375
8233,8,2,525.836059570312
9101,9,1,62
9102,9,1,28
9103,9,1,15
9104,9,1,54
9105,9,1,22
9106,9,1,25
9107,9,1,10
9108,9,1,16
9109,9,1,37
9110,9,1,628
9111,9,1,24
9112,9,1,94
9113,9,1,26
9114,9,1,66
9115,9,1,17
9116,9,1,203
9117,9,1,157
9118,9,1,50
9119,9,1,42
9120,9,1,26
9121,9,1,25
9122,9,1,22
9123,9,1,96
9124,9,1,24
9125,9,1,514
9126,9,1,3522
9127,9,1,89
9128,9,1,131
9129,9,1,66
9130,9,1,50
9131,9,1,44
9132,9,1,1065
9133,9,1,26
9201,9,2,1095.95166015625
9202,9,2,266.642639160156
9203,9,2,473.164184570312
9204,9,2,371.911926269531
9205,9,2,797.604125976562
9206,9,2,121.665283203125
9207,9,2,113.488342285156
9208,9,2,678.996459960938
9209,9,2,455.055908203125
9210,9,2,1141.9912109375
9211,9,2,430.852935791016
9212,9,2,192.408279418945
9213,9,2,155.35693359375
9214,9,2,201.442825317383
9215,8,2,621.552490234375
9216,9,2,517.267395019531
9217,9,2,343.263732910156
9218,9,2,347.328582763672
9219,9,2,342.42822265625
9220,9,2,327.17333984375
9221,9,2,173.978851318359
9222,9,2,223.239807128906
9223,9,2,474.900665283203
9224,9,2,118.275611877441
9225,9,2,99.7692413330078
9226,9,2,141.768020629883
9227,9,2,131.882751464844
9228,9,2,130.333892822266
9229,9,2,90.3348236083984
9230,9,2,60.9344253540039
9231,9,2,101.52108001709
9232,9,2,120.024711608887
9233,9,2,52.9844169616699
